instance,period,customers,station_policy,active_stations,algorithm,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C5,4,5,phased,3,nearest,1002030.6782291308,206.5401026159407,162.41381265149107,2.0,1.0,1.0
c101C5,4,5,phased,3,grasp,473.846486870167,273.846486870167,0.0,2.0,2.0,0.0
c101C5,4,5,all,3,edd,1000451.8395758047,251.83957580467964,0.0,2.0,1.0,1.0
c101C5,4,5,all,3,sweep,1010255.352906282,213.12159050406265,984.2231315777824,2.0,1.0,1.0
c101C5,4,5,all,3,nearest,1002030.6782291308,206.5401026159407,162.41381265149107,2.0,1.0,1.0
c101C5,4,5,all,3,grasp,6573.562379549438,218.86912548812742,615.469325406131,2.0,2.0,0.0
c103C15,1,4,depot,1,edd,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,depot,1,sweep,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,depot,1,nearest,1000354.2095019708,154.2095019707516,0.0,2.0,0.0,1.0
c103C15,1,4,depot,1,grasp,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,phased,2,edd,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,phased,2,sweep,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,phased,2,nearest,357.24321196494304,157.24321196494304,0.0,2.0,1.0,0.0
c103C15,1,4,phased,2,grasp,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,all,5,edd,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,all,5,sweep,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,all,5,nearest,357.24321196494304,157.24321196494304,0.0,2.0,1.0,0.0
c103C15,1,4,all,5,grasp,357.24321196494304,157.24321196494304,0.0,2.0,1.0,0.0
c103C15,2,8,depot,1,edd,2000722.114545567,322.11454556705246,0.0,4.0,0.0,2.0
c103C15,2,8,depot,1,sweep,1000918.8659619001,225.8953764923136,39.29705854077835,3.0,0.0,1.0
c103C15,2,8,depot,1,nearest,1001236.3250861575,294.99301248728034,64.13320736702158,3.0,1.0,1.0
c103C15,2,8,depot,1,grasp,4030.905729113175,342.27716067402383,338.8628568439151,3.0,2.0,0.0
c103C15,2,8,phased,3,edd,2000722.114545567,322.11454556705246,0.0,4.0,0.0,2.0
c103C15,2,8,phased,3,sweep,932.2308063347475,239.26022092696397,39.29705854077835,3.0,1.0,0.0
c103C15,2,8,phased,3,nearest,1001236.3250861575,294.99301248728034,64.13320736702158,3.0,1.0,1.0
c103C15,2,8,phased,3,grasp,623.477212060614,323.47721206061397,0.0,3.0,2.0,0.0
c103C15,2,8,all,5,edd,2000722.114545567,322.11454556705246,0.0,4.0,0.0,2.0
c103C15,2,8,all,5,sweep,932.2308063347475,239.26022092696397,39.29705854077835,3.0,1.0,0.0
c103C15,2,8,all,5,nearest,1001236.3250861575,294.99301248728034,64.13320736702158,3.0,1.0,1.0
c103C15,2,8,all,5,grasp,607.5867620930217,307.5867620930217,0.0,3.0,2.0,0.0
c103C15,3,12,depot,1,edd,972.6851475542035,472.6851475542034,0.0,5.0,2.0,0.0
c103C15,3,12,depot,1,sweep,1001256.6573667311,363.68678132330257,39.29705854077835,5.0,0.0,1.0
c103C15,3,12,depot,1,nearest,3001442.4769847575,460.9220405436099,48.15549442140352,5.0,0.0,3.0
c103C15,3,12,depot,1,grasp,1002873.1280719466,508.8985855045198,176.42294864420455,6.0,1.0,1.0
c103C15,3,12,phased,4,edd,972.6851475542035,472.6851475542034,0.0,5.0,2.0,0.0
c103C15,3,12,phased,4,sweep,1270.0222111657365,377.05162575795293,39.29705854077835,5.0,1.0,0.0
c103C15,3,12,phased,4,nearest,1004698.8605195351,462.52082555378047,373.63396939813765,5.0,1.0,1.0
c103C15,3,12,phased,4,grasp,964.684823156485,464.684823156485,0.0,5.0,2.0,0.0
c103C15,3,12,all,5,edd,972.6851475542035,472.6851475542034,0.0,5.0,2.0,0.0
c103C15,3,12,all,5,sweep,1270.0222111657365,377.05162575795293,39.29705854077835,5.0,1.0,0.0
c103C15,3,12,all,5,nearest,1004698.8605195351,462.52082555378047,373.63396939813765,5.0,1.0,1.0
c103C15,3,12,all,5,grasp,1035.0746969886227,535.0746969886228,0.0,5.0,4.0,0.0
c103C15,4,15,depot,1,edd,1001401.2032319633,701.2032319633606,0.0,7.0,2.0,1.0
c103C15,4,15,depot,1,sweep,2006876.1147447622,457.12090668388373,581.8993838078211,6.0,0.0,2.0
c103C15,4,15,depot,1,nearest,3007180.888440223,513.5331138821639,606.7355326340643,6.0,0.0,3.0
c103C15,4,15,depot,1,grasp,7116.215151665628,699.3238899439435,581.6891261721684,6.0,4.0,0.0
c103C15,4,15,phased,5,edd,2001373.3375432484,673.3375432484864,0.0,7.0,2.0,2.0
c103C15,4,15,phased,5,sweep,6895.215410279031,476.22157220081976,581.8993838078211,6.0,2.0,0.0
c103C15,4,15,phased,5,nearest,2007186.6242613052,519.2689349644495,606.7355326340643,6.0,1.0,2.0
c103C15,4,15,phased,5,grasp,1168.771911225439,568.771911225439,0.0,6.0,3.0,0.0
c103C15,4,15,all,5,edd,2001373.3375432484,673.3375432484864,0.0,7.0,2.0,2.0
c103C15,4,15,all,5,sweep,6895.215410279031,476.22157220081976,581.8993838078211,6.0,2.0,0.0
c103C15,4,15,all,5,nearest,2007186.6242613052,519.2689349644495,606.7355326340643,6.0,1.0,2.0
c103C15,4,15,all,5,grasp,2577.2614553869034,638.953519346489,133.83079360404145,6.0,5.0,0.0
c103C5,1,2,depot,1,edd,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,1,2,depot,1,sweep,8986.543152939812,74.05505797167908,881.2488094968134,1.0,0.0,0.0
c103C5,1,2,depot,1,nearest,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,1,2,depot,1,grasp,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,1,2,phased,2,edd,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,1,2,phased,2,sweep,8986.543152939812,74.05505797167908,881.2488094968134,1.0,0.0,0.0
c103C5,1,2,phased,2,nearest,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,1,2,phased,2,grasp,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,1,2,all,2,edd,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,1,2,all,2,sweep,8986.543152939812,74.05505797167908,881.2488094968134,1.0,0.0,0.0
c103C5,1,2,all,2,nearest,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,1,2,all,2,grasp,174.05505797167908,74.05505797167908,0.0,1.0,0.0,0.0
c103C5,2,3,depot,1,edd,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,2,3,depot,1,sweep,9148.15484014281,135.66674517467652,881.2488094968134,2.0,0.0,0.0
c103C5,2,3,depot,1,nearest,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,2,3,depot,1,grasp,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,2,3,phased,2,edd,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,2,3,phased,2,sweep,9148.15484014281,135.66674517467652,881.2488094968134,2.0,0.0,0.0
c103C5,2,3,phased,2,nearest,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,2,3,phased,2,grasp,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,2,3,all,2,edd,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,2,3,all,2,sweep,9148.15484014281,135.66674517467652,881.2488094968134,2.0,0.0,0.0
c103C5,2,3,all,2,nearest,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,2,3,all,2,grasp,335.6667451746765,135.66674517467652,0.0,2.0,0.0,0.0
c103C5,3,4,depot,1,edd,352.3975503314247,152.39755033142472,0.0,2.0,0.0,0.0
c103C5,3,4,depot,1,sweep,9164.885645299559,152.39755033142472,881.2488094968134,2.0,0.0,0.0
c103C5,3,4,depot,1,nearest,1000367.7976533299,167.79765332987532,0.0,2.0,0.0,1.0
c103C5,3,4,depot,1,grasp,352.3975503314247,152.39755033142472,0.0,2.0,0.0,0.0
c103C5,3,4,phased,2,edd,352.3975503314247,152.39755033142472,0.0,2.0,0.0,0.0
c103C5,3,4,phased,2,sweep,9164.885645299559,152.39755033142472,881.2488094968134,2.0,0.0,0.0
c103C5,3,4,phased,2,nearest,1000367.7976533299,167.79765332987532,0.0,2.0,0.0,1.0
c103C5,3,4,phased,2,grasp,352.3975503314247,152.39755033142472,0.0,2.0,0.0,0.0
c103C5,3,4,all,2,edd,352.3975503314247,152.39755033142472,0.0,2.0,0.0,0.0
c103C5,3,4,all,2,sweep,9164.885645299559,152.39755033142472,881.2488094968134,2.0,0.0,0.0
c103C5,3,4,all,2,nearest,1000367.7976533299,167.79765332987532,0.0,2.0,0.0,1.0
c103C5,3,4,all,2,grasp,352.3975503314247,152.39755033142472,0.0,2.0,0.0,0.0
c103C5,4,5,depot,1,edd,1000361.2613846621,161.2613846621467,0.0,2.0,0.0,1.0
c103C5,4,5,depot,1,sweep,1009174.8856452996,162.39755033142472,881.2488094968134,2.0,0.0,1.0
c103C5,4,5,depot,1,nearest,1000377.2862654559,177.28626545587022,0.0,2.0,0.0,1.0
c103C5,4,5,depot,1,grasp,384.49780808583205,184.49780808583205,0.0,2.0,1.0,0.0
